city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Tahannawt,2026-09-21,33.2,23.0,0.0,13,20.4,37.4,3
Tahannawt,2026-09-22,33.3,20.7,0.0,0,16.6,31.0,0
Arfoud,2026-09-20,31.6,20.5,0.0,18,8.6,23.8,3
Arfoud,2026-09-21,33.1,20.8,0.2,13,15.5,27.4,3
Arfoud,2026-09-22,32.2,21.3,0.0,0,10.5,15.8,2
Tahla,2026-09-20,33.7,21.1,0.0,0,20.7,41.0,2
Tahla,2026-09-21,33.5,21.1,0.0,0,17.4,33.8,2
Tahla,2026-09-22,32.5,18.7,0.0,0,11.8,23.0,3
Missour,2026-09-20,31.5,16.8,0.5,18,24.6,39.2,80
Missour,2026-09-21,30.1,18.2,0.0,0,25.8,40.0,45
Missour,2026-09-22,29.8,16.1,0.0,0,20.9,32.4,1
Sidi Lmokhtar,2026-09-20,36.4,22.3,0.0,0,22.7,37.1,3
Sidi Lmokhtar,2026-09-21,37.8,22.6,0.0,0,22.7,38.2,3
Sidi Lmokhtar,2026-09-22,37.6,20.1,0.0,0,20.3,33.5,0
Douar Toulal,2026-09-20,36.6,21.0,0.0,0,15.9,38.5,2
Douar Toulal,2026-09-21,35.7,21.7,0.0,0,17.1,38.2,2
Douar Toulal,2026-09-22,34.0,18.6,0.0,0,15.5,34.2,2
Oulad Yaïch,2026-09-20,37.7,24.6,0.0,3,12.6,27.7,2
Oulad Yaïch,2026-09-21,37.7,22.1,0.0,3,17.7,31.0,3
Oulad Yaïch,2026-09-22,36.4,22.1,0.0,0,9.9,19.1,2
Zawyat ech Cheïkh,2026-09-20,35.5,18.6,0.0,3,8.5,16.9,2
Zawyat ech Cheïkh,2026-09-21,35.2,18.6,0.0,3,13.0,24.5,2
Zawyat ech Cheïkh,2026-09-22,33.6,17.3,0.0,0,11.5,21.6,2
Imi-n-Tanout,2026-09-20,32.7,23.8,0.0,18,22.5,39.2,3
Imi-n-Tanout,2026-09-21,34.3,24.4,0.0,3,25.6,43.6,3
Imi-n-Tanout,2026-09-22,33.5,23.6,0.0,0,22.3,37.4,1
Sebt Gzoula,2026-09-20,33.8,22.0,0.0,0,14.4,28.1,2
Sebt Gzoula,2026-09-21,35.1,22.2,0.0,0,14.0,27.0,3
